period,item_id,name,query,title,url,brand_tier,cba_flag,category,in_stock,promo_flag,price_original,price_promo,price_final,unit_price_base,qty_base,expected_qty,cost_item_ae,substitution
2025-09,fideos_tirabuzon_lucchetti_500g,Fideos Tirabuzón Lucchetti x 500 g,PINNED,Fideos Tirabuzón Lucchetti x 500 g.,https://supermercado.laanonimaonline.com/almacen/fideos-tirabuzon-lucchetti-x-500-g/art_25363/,estándar,si,Almacen,True,True,1650.0,1650.0,1650.0,3300.0,0.5,0.0,,
2025-09,fideos_huevo_la_anonima_500g,Tallarín al Huevo La Anónima x 500 g,PINNED,Tallarín al Huevo La Anónima x 500 g.,https://supermercado.laanonimaonline.com/almacen/fideos/tallarin-al-huevo-la-anonima-x-500-g/art_27297/,2da marca,no,Almacen,True,True,2400.0,2400.0,2400.0,4800.0,0.5,0.0,,
2025-09,fideos_nido2_la_anonima_500g,Fideos al Huevo Nido 2 La Anónima x 500 g,PINNED,Fideos al Huevo Nido 2 La Anónima x 500 g.,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/fideos-al-huevo-nido-2-la-anonima-x-500-g/art_21775/,2da marca,no,Almacen,True,True,1900.0,2400.0,2400.0,4800.0,0.5,0.0,,
2025-09,yerba_amanda_1kg,Yerba mate tradicional Amanda x 1 kg,PINNED,Yerba Mate Tradicional Amanda x 1 kg.,https://supermercado.laanonimaonline.com/almacen/yerba-mate-tradicional-amanda-x-1-kg/art_3180/,estándar,si,Almacen,True,True,4400.0,4400.0,4400.0,4400.0,1.0,0.0,,
2025-09,yerba_playadito_1kg,Yerba mate c/palo Suave Playadito x 1 kg,PINNED,Yerba Mate c/Palo Suave Playadito x 1 Kg.,https://supermercado.laanonimaonline.com/almacen/infusiones/yerbas/yerba-mate-c-palo-suave-playadito-x-1-kg/art_12710/,premium,si,Almacen,True,True,3320.0,5950.0,5950.0,5950.0,1.0,0.0,,
2025-09,yerba_playadito_500g,Yerba mate c/palo Suave Playadito x 500 g,PINNED,Yerba Mate c/Palo Suave Playadito x 500 g.,https://supermercado.laanonimaonline.com/almacen/desayuno-y-merienda/yerba-mate-c-palo-suave-playadito-x-500-g/art_12711/,premium,no,Almacen,True,True,3250.0,3250.0,3250.0,6500.0,0.5,0.0,,
2025-09,pure_tomate_arcor_520g,Purée de tomate Arcor brick x 520 g,PINNED,Pure de Tomate Brick Arcor x 520 g.,https://supermercado.laanonimaonline.com/almacen/conservas-y-encurtidos/pure-de-tomate-brick-arcor-x-520-g/art_27641/,estándar,si,Almacen,True,True,650.0,650.0,650.0,1250.0,0.52,0.0,,
2025-09,pulpa_tomate_arcor_520g,Pulpa de tomate Arcor suave brick x 520 g,PINNED,Pulpa de Tomate Arcor Suave Brick x 520 g.,https://supermercado.laanonimaonline.com/almacen/conservas-y-encurtidos/pulpa-de-tomate-arcor-suave-brick-x-520-g/art_3448/,estándar,si,Almacen,True,True,1415.0,840.0,840.0,1615.3846153846152,0.52,0.0,,
2025-09,pulpa_tomate_salsati_520g,Pulpa de tomate Salsati brick x 520 g,PINNED,Pulpa de Tomate Salsati Brick x 520 g.,https://supermercado.laanonimaonline.com/almacen/conservas-y-encurtidos/pulpa-de-tomate-salsati-brick-x-520-g/art_3766/,2da marca,si,Almacen,True,True,1100.0,1100.0,1100.0,2115.3846153846152,0.52,0.0,,
2025-09,tomate_perita_entero_la_anonima_400g,Tomate perita entero La Anónima x 400 g,PINNED,Tomate Perita Entero La Anónima x 400 g.,https://supermercado.laanonimaonline.com/almacen/conservas-y-encurtidos/tomates-y-salsas/tomate-perita-entero-la-anonima-x-400-g/art_25228/,2da marca,si,Almacen,True,True,1300.0,1300.0,1300.0,3250.0,0.4,0.0,,
2025-09,sal_fina_paquete_dos_anclas_500g,Sal fina paquete Dos Anclas x 500 g,PINNED,Sal Fina Paquete Dos Anclas x 500 g.,https://supermercado.laanonimaonline.com/almacen/aceite-aderezos-y-condimentos/sal-fina-paquete-dos-anclas-x-500-g/art_27748/,estándar,si,Almacen,True,True,1350.0,1350.0,1350.0,2700.0,0.5,0.0,,
2025-09,sal_fina_salero_dos_anclas_500g,Sal fina salero Dos Anclas x 500 g,PINNED,Sal Fina Salero Dos Anclas x 500 g.,https://supermercado.laanonimaonline.com/almacen/aceite-aderezos-y-condimentos/sal-fina-salero-dos-anclas-x-500-g/art_6929/,estándar,no,Almacen,True,True,3050.0,3050.0,3050.0,6100.0,0.5,0.0,,
2025-09,sal_fina_estuche_dos_anclas_500g,Sal fina estuche Dos Anclas x 500 g,PINNED,Sal Fina Dos Anclas Estuche x 500 g.,https://supermercado.laanonimaonline.com/almacen/aceite-aderezos-y-condimentos/sal-fina-dos-anclas-estuche-x-500-g/art_2121/,estándar,no,Almacen,True,True,1700.0,1700.0,1700.0,3400.0,0.5,0.0,,
